school,district,ncesid,title_1_school_status,lat,long,total_enroll,bipoc_enroll,bipoc_pct,white_enroll
"NASHWAUK SECONDARY","NASHWAUK-KEEWATIN SCHOOL DISTRICT",2723310,5-Title I schoolwide school,47.3756,-93.1665,267,37,0.13857677902621723,230
"NATURAL SCIENCE ACADEMY","NATURAL SCIENCE ACADEMY",2700310,6-Not a Title I school,44.84131,-92.987051,84,18,0.21428571428571427,66
"NAYTAHWAUSH COMMUNITY SCHOOL","NAYTAHWAUSH COMMUNITY SCHOOL",2700275,5-Title I schoolwide school,47.2758,-95.6196,123,123,1,0
NEILL ELEMENTARY,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2731780,5-Title I schoolwide school,45.008239,-93.363889,444,314,0.7072072072072072,130
NELLE SHEAN ELEMENTARY,EVELETH-GILBERT SCHOOL DISTRICT,2700021,2-Title I targeted assistance school,47.487728,-92.47076,153,15,0.09803921568627451,138
NELLIE STONE JOHNSON ELEMENTARY,Minneapolis Public School District,2721240,5-Title I schoolwide school,45.007165,-93.290025,386,353,0.9145077720207254,33
NERSTRAND CHARTER SCHOOL,NERSTRAND CHARTER SCHOOL,2700179,2-Title I targeted assistance school,44.3394,-93.0688,152,15,0.09868421052631579,137
NETT LAKE ELEMENTARY,NETT LAKE PUBLIC SCHOOL DISTRICT,2733720,5-Title I schoolwide school,48.1097,-93.0956,48,48,1,0
NEVELN ELEMENTARY,AUSTIN PUBLIC SCHOOL DISTRICT,2703450,5-Title I schoolwide school,43.6664,-92.9455,293,139,0.47440273037542663,154
NEVIS ELEMENTARY,NEVIS PUBLIC SCHOOL DISTRICT,2723370,2-Title I targeted assistance school,46.9663,-94.8449,351,38,0.10826210826210826,313
NEVIS SECONDARY,NEVIS PUBLIC SCHOOL DISTRICT,2723370,2-Title I targeted assistance school,46.9659,-94.8438,276,39,0.14130434782608695,237
NEW CENTURY ACADEMY,New Century Academy,2700214,2-Title I targeted assistance school,44.87885,-94.397428,133,15,0.11278195488721804,118
NEW CENTURY SCHOOL,New Century School,2700410,5-Title I schoolwide school,44.969706,-93.159299,333,333,1,0
NEW CITY SCHOOL,NEW CITY SCHOOL,2700354,2-Title I targeted assistance school,45.004056,-93.259387,315,126,0.4,189
NEW DISCOVERIES MONTESSORI ACADEMY,NEW DISCOVERIES MONTESSORI ACADEMY,2700277,2-Title I targeted assistance school,44.886285,-94.35299,237,38,0.16033755274261605,199
